PROVINCIE,link organisatie,type org,naam,adres,postcode,plaats,posx,posY,provincie,telf,regio
Drenthe,"/zorgorganisatie/792157/ggz-instelling/assen/ggz-drenthe-divisie-ggz-noord-drenthe",ggz-instelling,GGZ Drenthe divisie GGZ Noord-Drenthe - Assen,Beilerstraat 197,, Assen,,,,0592-334200,
Drenthe,"/zorgorganisatie/791151/ggz-instelling/assen/ggz-drenthe-divisie-ggz-noord-drenthe-locatie-dennenweg",ggz-instelling,GGZ Drenthe divisie GGZ Noord-Drenthe locatie Dennenweg - Assen,Dennenweg 9,, Assen,,,,0592-334800,
Drenthe,"/zorgorganisatie/6852/ggz-instelling/beilen/apz-drenthe-locatie-beilen",ggz-instelling,Apz Drenthe Locatie Beilen - Beilen,,, Beilen,,,,0593-522541,
Drenthe,"/zorgorganisatie/791993/ggz-instelling/emmen/ggz-drenthe-divisie-ggz-zuidoost-drenthe",ggz-instelling,GGZ Drenthe divisie GGZ Zuidoost-Drenthe - Emmen,Boermarkeweg 70,, Emmen,,,,0591-655655,
Drenthe,"/zorgorganisatie/792522/ggz-instelling/zuidlaren/lentis",ggz-instelling,Lentis - Zuidlaren,E 6,, Zuidlaren,,,,088-1140000,
Drenthe,"/zorgorganisatie/791778/ggz-instelling/zuidlaren/lentis-zorggroep-axenza",ggz-instelling,Lentis Zorggroep Axenza - Zuidlaren,E 48,, Zuidlaren,,,,050-4097202/088-1144000,
Drenthe,"/zorgorganisatie/791680/ggz-instelling/zuidlaren/lentis-zorggroep-axenza-activering-a-reintegratie-zuidlaren",ggz-instelling,Lentis Zorggroep Axenza Activering & Reïntegratie Zuidlaren - Zuidlaren,,, Zuidlaren,,,,088-1144000,
Drenthe,"/zorgorganisatie/790952/ggz-instelling/zuidlaren/lentis-zorggroep-axenza-centrum-voor-klinische-psychotherapie",ggz-instelling,Lentis Zorggroep Axenza Centrum voor Klinische Psychotherapie - Zuidlaren,E 61,, Zuidlaren,,,,088-1144000,
Drenthe,"/zorgorganisatie/792512/ggz-instelling/zuidlaren/lentis-zorggroep-axenza-centrum-voor-neuropsychiatrie",ggz-instelling,Lentis Zorggroep Axenza Centrum voor Neuropsychiatrie - Zuidlaren,,, Zuidlaren,,,,050-4097540,
Drenthe,"/zorgorganisatie/791851/ggz-instelling/zuidlaren/lentis-zorggroep-dignis-ouderenpsychiatrie-zonneheuvel",ggz-instelling,Lentis Zorggroep Dignis Ouderenpsychiatrie Zonneheuvel - Zuidlaren,E 19,, Zuidlaren,,,,,
Drenthe,"/zorgorganisatie/792522/ggz-instelling/zuidlaren/lentis",ggz-instelling,Lentis - Zuidlaren,E 6,, Zuidlaren,,,,088-1140000,
Drenthe,"/zorgorganisatie/796550/fysiotherapiepraktijk/aalden/fysiotherapie-aalden-zweeloo",fysiotherapiepraktijk,Fysiotherapie Aalden/Zweeloo - Aalden,Weersmaten 2,7854 TR ,Aalden,52.794590,6.717037,,0591-371646,
Drenthe,"/zorgorganisatie/795925/fysiotherapiepraktijk/annen/schuur-meijer-praktijk-voor-fysiotherapie",fysiotherapiepraktijk,Schuur-Meijer Praktijk voor Fysiotherapie - Annen,Ronkelskamp 34,9468 EP ,Annen,53.058784,6.713684,,0592-271667,
